Variavel,Tratamento,Grupo,Valor
Biomassa Final,Sem NaNO3,C0,0.145
Biomassa Final,Sem NaNO3,C0,0.159
Biomassa Final,Sem NaNO3,C0,0.045
Biomassa Final,Sem NaNO3,C0,0.128
Biomassa Final,Sem NaNO3,C0,0.118
Biomassa Final,Sem NaNO3,C0,0.153
Biomassa Final,Sem NaNO3,C0,0.174
Biomassa Final,Sem NaNO3,C0,0.282
Biomassa Final,Sem NaNO3,C0,0.297
Biomassa Final,Sem NaNO3,C0,0.173
Biomassa Final,Com NaNO3,C0,0.643
Biomassa Final,Com NaNO3,C0,0.48
Biomassa Final,Com NaNO3,C0,0.01
Biomassa Final,Com NaNO3,C0,0.171
Biomassa Final,Com NaNO3,C0,0.25
Biomassa Final,Com NaNO3,C0,0.055
Biomassa Final,Com NaNO3,C0,0.899
Biomassa Final,Com NaNO3,C0,0.023
Biomassa Final,Com NaNO3,C0,0.089
Biomassa Final,Com NaNO3,C0,0.059
PAM Final (Fv/Fm),Sem NaNO3,C0,0.2893
PAM Final (Fv/Fm),Sem NaNO3,C0,0.2047
PAM Final (Fv/Fm),Sem NaNO3,C0,0.1907
PAM Final (Fv/Fm),Sem NaNO3,C0,0.301
PAM Final (Fv/Fm),Sem NaNO3,C0,0.271
PAM Final (Fv/Fm),Sem NaNO3,C0,0.2073
PAM Final (Fv/Fm),Sem NaNO3,C0,0.29
PAM Final (Fv/Fm),Sem NaNO3,C0,0.205
PAM Final (Fv/Fm),Sem NaNO3,C0,0.2907
PAM Final (Fv/Fm),Sem NaNO3,C0,0.222
PAM Final (Fv/Fm),Com NaNO3,C0,0.6237
PAM Final (Fv/Fm),Com NaNO3,C0,0.608
PAM Final (Fv/Fm),Com NaNO3,C0,0.5997
PAM Final (Fv/Fm),Com NaNO3,C0,0.6123
PAM Final (Fv/Fm),Com NaNO3,C0,0.6497
PAM Final (Fv/Fm),Com NaNO3,C0,0.2533
PAM Final (Fv/Fm),Com NaNO3,C0,0.571
PAM Final (Fv/Fm),Com NaNO3,C0,0.588
