Variavel,Tratamento,Grupo,N,Mean,Std,Min,Q1,Median,Q3,Max
Biomassa Final,Sem NaNO3,C0,10,0.1674,0.0705,0.045,0.1322,0.156,0.1737,0.297
Biomassa Final,Com NaNO3,C0,10,0.1752,0.1289,0.055,0.0665,0.146,0.2132,0.48
PAM Final (Fv/Fm),Sem NaNO3,C0,10,0.2472,0.0424,0.1907,0.2056,0.2465,0.2898,0.301
PAM Final (Fv/Fm),Com NaNO3,C0,10,0.4917,0.1787,0.1813,0.3328,0.5938,0.6112,0.6497
Biomassa Final,Sem NaNO3,C1,10,0.1886,0.0609,0.08,0.147,0.1905,0.2278,0.293
Biomassa Final,Com NaNO3,C1,9,0.3228,0.3596,0.023,0.066,0.108,0.52,0.986
PAM Final (Fv/Fm),Sem NaNO3,C1,10,0.2221,0.0742,0.1563,0.184,0.193,0.2298,0.4267
PAM Final (Fv/Fm),Com NaNO3,C1,10,0.5413,0.1201,0.2217,0.5272,0.5712,0.5961,0.7073
Biomassa Final,Sem NaNO3,C2,10,0.2329,0.1013,0.091,0.1635,0.2045,0.2742,0.431
Biomassa Final,Com NaNO3,C2,10,0.4408,0.3705,0.01,0.1142,0.2815,0.8185,0.98
PAM Final (Fv/Fm),Sem NaNO3,C2,10,0.2525,0.083,0.112,0.2446,0.2557,0.2735,0.4097
PAM Final (Fv/Fm),Com NaNO3,C2,10,0.4635,0.1707,0.148,0.3252,0.5372,0.5818,0.6323
Biomassa Final,Sem NaNO3,C3,10,0.3323,0.1827,0.099,0.2375,0.3155,0.3715,0.722
Biomassa Final,Com NaNO3,C3,10,0.5806,0.5105,0.065,0.134,0.45,0.871,1.671
PAM Final (Fv/Fm),Sem NaNO3,C3,10,0.434,0.1197,0.1957,0.3627,0.4268,0.4986,0.6143
PAM Final (Fv/Fm),Com NaNO3,C3,10,0.4324,0.1204,0.295,0.3348,0.4128,0.5287,0.668
