Contexto,Variavel,Grupo_A,Grupo_B,n_A,n_B,Media_A,Media_B,Mediana_A,Mediana_B,t_stat,t_p_raw,u_stat,u_p_raw,t_p_bonf,u_p_bonf,Signif_t(0.05),Signif_u(0.05)
Biomassa COM NaNO3,inicial,C0,C1,10,9,0.1262,0.190778,0.1315,0.179,-1.723463,0.11147,23.5,0.086273,0.668821,0.517637,Nao,Nao
Biomassa COM NaNO3,inicial,C0,C2,10,10,0.1262,0.1858,0.1315,0.185,-1.733382,0.105429,29.5,0.130425,0.632574,0.782552,Nao,Nao
Biomassa COM NaNO3,inicial,C0,C3,10,10,0.1262,0.431,0.1315,0.288,-3.3904,0.007289,6.0,0.001004,0.043735,0.006021,Sim,Sim
Biomassa COM NaNO3,inicial,C1,C2,9,10,0.190778,0.1858,0.179,0.185,0.109562,0.914075,43.0,0.902523,1.0,1.0,Nao,Nao
Biomassa COM NaNO3,inicial,C1,C3,9,10,0.190778,0.431,0.179,0.288,-2.537227,0.026737,16.0,0.01991,0.160422,0.119461,Nao,Nao
Biomassa COM NaNO3,inicial,C2,C3,10,10,0.1858,0.431,0.185,0.288,-2.622441,0.023582,23.0,0.045074,0.141491,0.270443,Nao,Nao
PAM SEM NaNO3,final,C0,C1,10,10,0.247167,0.222067,0.2465,0.193,0.881373,0.392678,77.0,0.045155,1.0,0.270927,Nao,Nao
PAM SEM NaNO3,final,C0,C2,10,10,0.247167,0.2525,0.2465,0.255667,-0.171669,0.866264,49.0,0.96985,1.0,1.0,Nao,Nao
PAM SEM NaNO3,final,C0,C3,10,10,0.247167,0.433967,0.2465,0.426833,-4.41349,0.000991,9.0,0.002202,0.005946,0.013213,Sim,Sim
PAM SEM NaNO3,final,C1,C2,10,10,0.222067,0.2525,0.193,0.255667,-0.820151,0.422991,31.0,0.161972,1.0,0.971834,Nao,Nao
PAM SEM NaNO3,final,C1,C3,10,10,0.222067,0.433967,0.193,0.426833,-4.514524,0.00041,8.0,0.001706,0.002458,0.010237,Sim,Sim
PAM SEM NaNO3,final,C2,C3,10,10,0.2525,0.433967,0.255667,0.426833,-3.737568,0.001789,12.0,0.004586,0.010734,0.027518,Sim,Sim
PAM SEM NaNO3,mudanca,C0,C1,10,10,-0.185633,-0.201533,-0.197667,-0.2075,0.393443,0.698626,59.0,0.520523,1.0,1.0,Nao,Nao
PAM SEM NaNO3,mudanca,C0,C2,10,10,-0.185633,-0.153233,-0.197667,-0.177667,-0.759446,0.457637,44.0,0.677585,1.0,1.0,Nao,Nao
PAM SEM NaNO3,mudanca,C0,C3,10,10,-0.185633,0.052733,-0.197667,0.035333,-5.397548,4.6e-05,2.0,0.00033,0.000274,0.001979,Sim,Sim
PAM SEM NaNO3,mudanca,C1,C2,10,10,-0.201533,-0.153233,-0.2075,-0.177667,-1.106023,0.283418,38.0,0.384673,1.0,1.0,Nao,Nao
PAM SEM NaNO3,mudanca,C1,C3,10,10,-0.201533,0.052733,-0.2075,0.035333,-5.633358,2.6e-05,4.0,0.000583,0.000158,0.003497,Sim,Sim
PAM SEM NaNO3,mudanca,C2,C3,10,10,-0.153233,0.052733,-0.177667,0.035333,-4.367282,0.000374,8.0,0.001706,0.002245,0.010237,Sim,Sim
PAM COM NaNO3,inicial,C0,C1,10,10,0.324367,0.288967,0.3155,0.259333,0.932348,0.367009,70.5,0.130425,1.0,0.782552,Nao,Nao
PAM COM NaNO3,inicial,C0,C2,10,10,0.324367,0.3311,0.3155,0.331333,-0.185978,0.855041,52.0,0.909722,1.0,1.0,Nao,Nao
PAM COM NaNO3,inicial,C0,C3,10,10,0.324367,0.446067,0.3155,0.428,-3.131238,0.007523,15.0,0.009108,0.045137,0.054651,Sim,Nao
PAM COM NaNO3,inicial,C1,C2,10,10,0.288967,0.3311,0.259333,0.331333,-0.922272,0.368632,35.0,0.273036,1.0,1.0,Nao,Nao
PAM COM NaNO3,inicial,C1,C3,10,10,0.288967,0.446067,0.259333,0.428,-3.285172,0.004118,12.0,0.004586,0.024706,0.027518,Sim,Sim
PAM COM NaNO3,inicial,C2,C3,10,10,0.3311,0.446067,0.331333,0.428,-2.475964,0.023544,21.0,0.031209,0.141266,0.187254,Nao,Nao
PAM COM NaNO3,mudanca,C0,C1,10,10,0.1673,0.252333,0.2345,0.2915,-1.136201,0.271964,37.0,0.344704,1.0,1.0,Nao,Nao
PAM COM NaNO3,mudanca,C0,C2,10,10,0.1673,0.1324,0.2345,0.171667,0.420941,0.678792,56.0,0.677585,1.0,1.0,Nao,Nao
PAM COM NaNO3,mudanca,C0,C3,10,10,0.1673,-0.013667,0.2345,-0.015,2.871506,0.015397,76.0,0.053903,0.092384,0.323415,Nao,Nao
PAM COM NaNO3,mudanca,C1,C2,10,10,0.252333,0.1324,0.2915,0.171667,1.650781,0.117123,69.0,0.161972,0.70274,0.971834,Nao,Nao
PAM COM NaNO3,mudanca,C1,C3,10,10,0.252333,-0.013667,0.2915,-0.015,5.456909,0.000136,94.0,0.001008,0.000816,0.006048,Sim,Sim
PAM COM NaNO3,mudanca,C2,C3,10,10,0.1324,-0.013667,0.171667,-0.015,2.418024,0.034079,73.0,0.088973,0.204473,0.533838,Nao,Nao
