TRATAMENTOS,RÉPLICAS,TEMPERATURA °C,INICIAL
C0,2,25,"0,082"
C0,4,25,"0,093"
C0,6,32,"0,069"
C0,14,32,"0,045"
C0,19,25,"0,071"
C0,21,32,"0,096"
C0,25,25,"0,131"
C0,30,32,"0,130"
C0,31,32,"0,104"
C0,35,25,"0,104"
C1,7,25,"0,117"
C1,8,32,"0,074"
C1,10,25,"0,091"
C1,12,32,"0,129"
C1,17,25,"0,078"
C1,22,25,"0,116"
C1,26,32,"0,145"
C1,27,32,"0,121"
C1,38,25,"0,103"
C1,39,32,"0,106"
C2,3,32,"0,126"
C2,5,25,"0,080"
C2,9,32,"0,140"
C2,11,25,"0,107"
C2,13,32,"0,135"
C2,16,25,"0,081"
C2,23,25,"0,082"
C2,33,25,"0,100"
C2,34,32,"0,098"
C2,36,32,"0,085"
C3,1,32,"0,100"
C3,15,25,"0,083"
C3,18,25,"0,088"
C3,20,25,"0,077"
C3,24,32,"0,091"
C3,28,32,"0,130"
C3,29,32,"0,133"
C3,32,32,"0,117"
C3,37,25,"0,076"
C3,40,25,"0,115"
